RSS URL,Title,Link,Published,Description,Source
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Hoger onderwijs wacht een 'hete herfst' als bezuinigingen doorgaan - Algemene Onderwijs bond,https://news.google.com/rss/articles/CBMipAFBVV95cUxOMTRjQkJva05qdW1uQy1aa3ZOcTRnLTZHbkJhTmFIUFB5QURoQ2pOOEJTeTdwVFRLeGFnZDRQVV9VZHRJZ0pLSXdFSThYQzR2Q1dyeEpoUWFfLU5Yb1B1aTR0SjVLZktrLTNfRkNsWnNkaGZGbU5IQ29FN3d5bHQ4VWpDNThzYWx3RGh4NERUUll5S1NJV00xclVPUFg4LVJjREdidg?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxOMTRjQkJva05qdW1uQy1aa3ZOcTRnLTZHbkJhTmFIUFB5QURoQ2pOOEJTeTdwVFRLeGFnZDRQVV9VZHRJZ0pLSXdFSThYQzR2Q1dyeEpoUWFfLU5Yb1B1aTR0SjVLZktrLTNfRkNsWnNkaGZGbU5IQ29FN3d5bHQ4VWpDNThzYWx3RGh4NERUUll5S1NJV00xclVPUFg4LVJjREdidg?oc=5"" target=""_blank"">Hoger onderwijs wacht een 'hete herfst' als bezuinigingen doorgaan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Algemene Onderwijs bond</font>","{'href': 'https://www.aob.nl', 'title': 'Algemene Onderwijs bond'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Onderhandelingen cao VO weer opgestart - CNV Connectief,https://news.google.com/rss/articles/CBMiywFBVV95cUxPQXAxMENKU08tS2RwYzA3a0R3VTVjUlVpMG9KUkowb1g1M0tMRk9PN3RhbXA4YzhON25KbE5TUnhPTTNKM0RmeEZtWGR1TWREUTkyNGdxOXVFMzBBSm9tcU54OWIyem9kUGF3QWNvOHhCUlhVNThqYWJWbDRqZ3cwMTRoSmgxQ0pFQVl5VW1DaXhlVTlENGprbGt0eWNjWklCLTRPWWhwNFVjeEROUWgxaW1ucS1nY1RRU3RsLXBMTW50Njh4aHRPTFZUYw?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiywFBVV95cUxPQXAxMENKU08tS2RwYzA3a0R3VTVjUlVpMG9KUkowb1g1M0tMRk9PN3RhbXA4YzhON25KbE5TUnhPTTNKM0RmeEZtWGR1TWREUTkyNGdxOXVFMzBBSm9tcU54OWIyem9kUGF3QWNvOHhCUlhVNThqYWJWbDRqZ3cwMTRoSmgxQ0pFQVl5VW1DaXhlVTlENGprbGt0eWNjWklCLTRPWWhwNFVjeEROUWgxaW1ucS1nY1RRU3RsLXBMTW50Njh4aHRPTFZUYw?oc=5"" target=""_blank"">Onderhandelingen cao VO weer opgestart</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CNV Connectief</font>","{'href': 'https://www.cnvconnectief.nl', 'title': 'CNV Connectief'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Indexatie Overgangsbekostiging voor Primair Onderwijs - PO-Raad,https://news.google.com/rss/articles/CBMitAFBVV95cUxQeFktdWtRbGxGNy1fTW1MVjRNZWxzNTlPbkpZZFpfbXFucS1heGI3SDhkOFpVZU9KVml2UGo1RDZ5WTBWMnprR3E0RHRiU21aR3psc3lod0N6Mk1palFSZGxIdVMxNTJyWk55UWM4V0tkWXFjVVJZWXh1d1pBTmN3WlF2aUY4S1c1R3pDd3E1eHJ5LU1ib2l6ejAya1RZWHUzeVRZSDEzODBSb2hETHNPSXRyUnI?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMitAFBVV95cUxQeFktdWtRbGxGNy1fTW1MVjRNZWxzNTlPbkpZZFpfbXFucS1heGI3SDhkOFpVZU9KVml2UGo1RDZ5WTBWMnprR3E0RHRiU21aR3psc3lod0N6Mk1palFSZGxIdVMxNTJyWk55UWM4V0tkWXFjVVJZWXh1d1pBTmN3WlF2aUY4S1c1R3pDd3E1eHJ5LU1ib2l6ejAya1RZWHUzeVRZSDEzODBSb2hETHNPSXRyUnI?oc=5"" target=""_blank"">Indexatie Overgangsbekostiging voor Primair Onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PO-Raad</font>","{'href': 'https://www.poraad.nl', 'title': 'PO-Raad'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Wetenschapper: universiteiten moeten stoppen met student-evaluaties onderwijs - NRC,https://news.google.com/rss/articles/CBMivwFBVV95cUxQNWlWcUNLOXIyTkh6cHpGME9hbDFPVEpPLWd4UXNZejdyYjV4Z2QzQlFmSUlqYWlkbllzLVJLRk55by0wNlZiZ0txOWxCNnFfQmNwQ3ZpdktwTHV6M2hYSEFBSW1QSDJWREpidUE1YTdWWHp0dTVSZGluTE1YQzZ4Smxzd1dmb0VHajhITjlBU21wZHFqUzZOM2cteWRrdW10OFRzLXJNTkNCWUlMNUkzb3VzakdtcURyVFdtdHV5OA?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMivwFBVV95cUxQNWlWcUNLOXIyTkh6cHpGME9hbDFPVEpPLWd4UXNZejdyYjV4Z2QzQlFmSUlqYWlkbllzLVJLRk55by0wNlZiZ0txOWxCNnFfQmNwQ3ZpdktwTHV6M2hYSEFBSW1QSDJWREpidUE1YTdWWHp0dTVSZGluTE1YQzZ4Smxzd1dmb0VHajhITjlBU21wZHFqUzZOM2cteWRrdW10OFRzLXJNTkNCWUlMNUkzb3VzakdtcURyVFdtdHV5OA?oc=5"" target=""_blank"">Wetenschapper: universiteiten moeten stoppen met student-evaluaties onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NRC</font>","{'href': 'https://www.nrc.nl', 'title': 'NRC'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Academisch jaar start met demonstratie: 'Krijgen we nog goed onderwijs met zóveel bezuinigingen?' - RTV Utrecht,https://news.google.com/rss/articles/CBMizwFBVV95cUxOUy1IY0Z3RzQ5ZkxwbGdpbTcwcG9aNjhfWGRRM3VKYXVPRm1PeVk1TkJ0N3lXS3pBbV9DUW1jSmpFSWxXenA0dG9jbmNkRXd6SlBBOWV0M2Uzc3o1WEVpR0xzVjgwaER0SXFvSHM3eVVmZEx3azNsdmpjalZpMFJKODBIWXVUVW9uUzUtWWJjc0xMeUF2ckZQa2d2akc5ZzIzV1hCVU5fQ0R1MkpnMnBVakpFTGFGOVFOLWJoT2M1eERJekdUQWZHd1luZmQzNWM?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMizwFBVV95cUxOUy1IY0Z3RzQ5ZkxwbGdpbTcwcG9aNjhfWGRRM3VKYXVPRm1PeVk1TkJ0N3lXS3pBbV9DUW1jSmpFSWxXenA0dG9jbmNkRXd6SlBBOWV0M2Uzc3o1WEVpR0xzVjgwaER0SXFvSHM3eVVmZEx3azNsdmpjalZpMFJKODBIWXVUVW9uUzUtWWJjc0xMeUF2ckZQa2d2akc5ZzIzV1hCVU5fQ0R1MkpnMnBVakpFTGFGOVFOLWJoT2M1eERJekdUQWZHd1luZmQzNWM?oc=5"" target=""_blank"">Academisch jaar start met demonstratie: 'Krijgen we nog goed onderwijs met zóveel bezuinigingen?'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RTV Utrecht</font>","{'href': 'https://www.rtvutrecht.nl', 'title': 'RTV Utrecht'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Universiteiten bezorgd over kabinetsplannen voor onderwijs - AG Connect,https://news.google.com/rss/articles/CBMipAFBVV95cUxQTmxYNGtVVlhIc1I4ZUo0ODBPdjlFUGxYN3BLZXJ0bDIweHpsUEdfTC05eFZ5U2VleTRwNEFYTUZJTjVndnRNNmhzRDh6SktQamMwSXQ1ampKbUtLRFdUNHpUTVdIMnhRY1B1dE83V3NFczdPb09OR0puQ25LWVN1ajh2Q3JkZUtrSVRRaHJuc2lFNGtDZlZEZUJmZFJKbjFTUjhzQw?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMipAFBVV95cUxQTmxYNGtVVlhIc1I4ZUo0ODBPdjlFUGxYN3BLZXJ0bDIweHpsUEdfTC05eFZ5U2VleTRwNEFYTUZJTjVndnRNNmhzRDh6SktQamMwSXQ1ampKbUtLRFdUNHpUTVdIMnhRY1B1dE83V3NFczdPb09OR0puQ25LWVN1ajh2Q3JkZUtrSVRRaHJuc2lFNGtDZlZEZUJmZFJKbjFTUjhzQw?oc=5"" target=""_blank"">Universiteiten bezorgd over kabinetsplannen voor onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">AG Connect</font>","{'href': 'https://www.agconnect.nl', 'title': 'AG Connect'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Studenten bouwen mee aan verduurzaming onderwijs - Bron.Fontys,https://news.google.com/rss/articles/CBMifEFVX3lxTE9vV2lxLWw3akJnWEhqekNXMi1uejg4akU5MGZuWmZCaHZ2dlZ3TXlLM0t5Y18zXzAydlhMMkZwT2VHb2lleTY2bUxfLUpDa2NqQkxUdE1IT1BCMTV4UUpPVFJZU3RxMTdoY29rMmJxV3c3LUV1S0F1NGhrdXk?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMifEFVX3lxTE9vV2lxLWw3akJnWEhqekNXMi1uejg4akU5MGZuWmZCaHZ2dlZ3TXlLM0t5Y18zXzAydlhMMkZwT2VHb2lleTY2bUxfLUpDa2NqQkxUdE1IT1BCMTV4UUpPVFJZU3RxMTdoY29rMmJxV3c3LUV1S0F1NGhrdXk?oc=5"" target=""_blank"">Studenten bouwen mee aan verduurzaming onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Bron.Fontys</font>","{'href': 'https://bron.fontys.nl', 'title': 'Bron.Fontys'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,‘Stop met studentevaluaties: ze bedreigen de academische vrijheid’ - ScienceGuide,https://news.google.com/rss/articles/CBMiogFBVV95cUxNdlo2U3lsWUNiUExPV2hZQWs2S3VhTlNTaThXZjQtZXROQVp2X0ZEQklQTzFRMDZldkl5ZWJHemJHcXg1a0s3S1J4aEdIUjhEVmpiZndpRWYxaFF1SGd2VTAzVllicDNhdnl5N2pxVE5aNjZrV2VWZUE5NEZFd1JZMUNsc3JsRF9QeC1CSWRhQVdDYUtWSnJXSVZubEVxQmFldXc?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNdlo2U3lsWUNiUExPV2hZQWs2S3VhTlNTaThXZjQtZXROQVp2X0ZEQklQTzFRMDZldkl5ZWJHemJHcXg1a0s3S1J4aEdIUjhEVmpiZndpRWYxaFF1SGd2VTAzVllicDNhdnl5N2pxVE5aNjZrV2VWZUE5NEZFd1JZMUNsc3JsRF9QeC1CSWRhQVdDYUtWSnJXSVZubEVxQmFldXc?oc=5"" target=""_blank"">‘Stop met studentevaluaties: ze bedreigen de academische vrijheid’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ScienceGuide</font>","{'href': 'https://www.scienceguide.nl', 'title': 'ScienceGuide'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,Kabinet twijfelt niet aan bezuiniging op hoger onderwijs - EM. Online,https://news.google.com/rss/articles/CBMioAFBVV95cUxQSk1EM1NvUU1OaXY1cTdiNWV5bTRSQmctVHJGR2ZDQjF3a3VwWE9md3BCUUNsbUlobzRyUnpvY1lzWVhUQnd0Q2trZHlrTGtoQ0ZDeXRGTGlFdl9wckl6T1B4ZnI2TjZQTk1nZFJRTnVaOGtFMU5xQnFqbUl6MHl0Mkd6eTB4QWozTXRab1ZGbFVsSldDNGVBY1g1dTRLV0Ru?oc=5,"Mon, 02 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMioAFBVV95cUxQSk1EM1NvUU1OaXY1cTdiNWV5bTRSQmctVHJGR2ZDQjF3a3VwWE9md3BCUUNsbUlobzRyUnpvY1lzWVhUQnd0Q2trZHlrTGtoQ0ZDeXRGTGlFdl9wckl6T1B4ZnI2TjZQTk1nZFJRTnVaOGtFMU5xQnFqbUl6MHl0Mkd6eTB4QWozTXRab1ZGbFVsSldDNGVBY1g1dTRLV0Ru?oc=5"" target=""_blank"">Kabinet twijfelt niet aan bezuiniging op hoger onderwijs</a>&nbsp;&nbsp;<font color=""#6f6f6f"">EM. Online</font>","{'href': 'https://www.erasmusmagazine.nl', 'title': 'EM. Online'}"
https://news.google.com/rss/search?q=onderwijs+before:2024-09-02+after:2024-09-01&hl=nl&gl=NL&ceid=NL:nl,10 beste AI-tools voor onderwijs (september 2024) - Unite.AI,https://news.google.com/rss/articles/CBMibkFVX3lxTE1pWEVmbW1UdWpjMzhEdUZkU2RMQXRQekVLWG1JbWlTVHhqcEE5QXdjYk1RNXNjQ0VUd3VwUDNOZDlHcXFtMnVsVHA3cWlkVDZEVXh0ckc3SW9xelVHXzZJVU45SHl4Z1lKQnFNYVVR?oc=5,"Sun, 01 Sep 2024 07:00:00 GMT","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1pWEVmbW1UdWpjMzhEdUZkU2RMQXRQekVLWG1JbWlTVHhqcEE5QXdjYk1RNXNjQ0VUd3VwUDNOZDlHcXFtMnVsVHA3cWlkVDZEVXh0ckc3SW9xelVHXzZJVU45SHl4Z1lKQnFNYVVR?oc=5"" target=""_blank"">10 beste AI-tools voor onderwijs (september 2024)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Unite.AI</font>","{'href': 'https://www.unite.ai', 'title': 'Unite.AI'}"
